label,text
negative,useless product
neutral,fair
negative,unsatisfactory
negative,expected a better product
negative,waste of money!
negative,nice
negative,worst experience ever!
negative,"like an assembled, one can get for 4.5k cheap quality"
negative,not good
negative,slightly disappointed
negative,horrible
negative,very poor
negative,useless product
negative,unsatisfactory
negative,unsatisfactory
negative,absolute rubbish!
negative,just okay
negative,perfect product!
neutral,worst experience ever!
negative,just okay
negative,worthless
neutral,just okay
negative,very poor
negative,very poor
negative,worst experience ever!
negative,nice
negative,absolute rubbish!
neutral,decent product
negative,hated it!
neutral,fair
negative,absolute rubbish!
negative,unsatisfactory
negative,nice
neutral,terrible product
negative,not recommended at all
negative,hated it!
neutral,decent product
negative,did not meet expectations
negative,very poor
negative,horrible
negative,decent product
negative,badly disappointed
neutral,good
negative,terrible product
negative,unsatisfactory
negative,just okay
neutral,mind-blowing purchase
negative,not good
negative,utterly disappointed
negative,terrible product
negative,does the job
negative,decent product
negative,did not meet expectations
negative,absolute rubbish!
negative,does the job
negative,nice
negative,moderate
negative,very poor
negative,horrible
neutral,wonderful
neutral,really nice
negative,just okay
negative,horrible
neutral,really nice
negative,value-for-money
negative,terrible product
negative,utterly disappointed
negative,classy product
negative,not recommended at all
negative,hated it!
neutral,good
negative,not recommended at all
neutral,wonderful
neutral,bad quality
neutral,good
negative,utterly disappointed
negative,brilliant
neutral,expected a better product
neutral,moderate
negative,bad quality
negative,horrible
negative,not recommended at all
negative,fair
neutral,fair
neutral,great product
negative,very poor
neutral,good
negative,utterly disappointed
negative,terrific
negative,bad quality
negative,moderate
negative,don't waste your money
negative,very good
negative,utterly disappointed
neutral,nice
neutral,fair
neutral,just okay
negative,terrible product
negative,don't waste your money
neutral,does the job
negative,good
negative,really nice
neutral,could be way better
neutral,bad quality
negative,hated it!
negative,waste of money!
negative,worst experience ever!
negative,decent product
neutral,bad quality
negative,good quality product
negative,simply awesome
negative,terrible product
negative,worthless
negative,horrible
negative,worthless
neutral,wonderful
neutral,nice
neutral,good quality product
negative,terrible product
negative,hated it!
negative,utterly disappointed
negative,not recommended at all
neutral,decent product
negative,not good
negative,simply awesome
negative,moderate
neutral,bad quality
neutral,just okay
negative,moderate
negative,nice
neutral,absolute rubbish!
negative,hated it!
negative,waste of money!
negative,don't waste your money
negative,nice
negative,value-for-money
negative,unsatisfactory
negative,utterly disappointed
negative,unsatisfactory
negative,did not meet expectations
negative,don't waste your money
negative,just okay
negative,great product
negative,did not meet expectations
neutral,pretty good
negative,excellent
negative,decent product
negative,not recommended at all
negative,product changed
negative,item is good but delhivery courier service worst.
negative,worthless
negative,mind-blowing purchase
negative,absolute rubbish!
negative,did not meet expectations
negative,useless product
negative,good quality product
neutral,terrible product
negative,worst delivery flipkart
negative,hated it!
negative,slightly disappointed
negative,very poor
negative,waste of money!
negative,damaged
neutral,moderate
negative,don't waste your money
negative,awesome
negative,worthless
negative,really nice
neutral,slightly disappointed
negative,not recommended at all
negative,waste of money!
negative,did not meet expectations
negative,could be way better
negative,did not meet expectations
negative,super!
neutral,decent product
neutral,highly recommended
negative,expected a better product
negative,just okay
negative,expected a better product
neutral,good quality product
negative,not good
neutral,fair
neutral,just okay
negative,good
negative,did not meet expectations
negative,hated it!
negative,not good
negative,horrible
negative,expected a better product
negative,expected a better product
negative,unsatisfactory
negative,waste of money!
negative,just okay
negative,absolute rubbish!
negative,hated it!
neutral,does the job
negative,not recommended at all
negative,good
negative,slightly disappointed
neutral,worthless
negative,waste of money!
negative,terrible product
negative,slightly disappointed
negative,does the job
negative,slightly disappointed
negative,slightly disappointed
negative,not recommended at all
negative,waste of money!
negative,moderate
negative,just okay
negative,fair
negative,absolute rubbish!
negative,did not meet expectations
neutral,worth the money
negative,bad quality
neutral,nice product
negative,did not meet expectations
negative,terrible product
negative,nice
neutral,fair
neutral,horrible
negative,don't waste your money
negative,fair
neutral,fair
negative,just okay
neutral,expected a better product
negative,worst experience ever!
negative,don't waste your money
negative,hated it!
negative,horrible
negative,utterly disappointed
negative,bad quality
negative,not good
neutral,nice
negative,good
negative,not good
negative,really nice
negative,terrible product
negative,did not meet expectations
negative,utterly disappointed
negative,moderate
negative,expected a better product
negative,hated it!
negative,not recommended at all
negative,bad quality
negative,utterly disappointed
neutral,pretty good
neutral,good product in this price
negative,good
negative,worst experience ever!
negative,nice
negative,very poor
negative,moderate
negative,could be way better
negative,pretty good
negative,hated it!
negative,slightly disappointed
negative,wonderful
neutral,good
negative,hated it!
negative,hated it!
negative,unsatisfactory
neutral,just okay
negative,very poor
negative,did not meet expectations
neutral,just okay
neutral,perfect product!
negative,good
negative,does the job
negative,horrible
negative,moderate
negative,moderate
negative,worthless
negative,good
negative,utterly disappointed
negative,unsatisfactory
negative,fair
negative,utterly disappointed
neutral,bad quality
negative,absolute rubbish!
negative,expected a better product
negative,worth the money
neutral,nice product
negative,don't waste your money
negative,just okay
negative,absolute rubbish!
negative,moderate
negative,nice
negative,absolute rubbish!
negative,terrible product
negative,unsatisfactory
negative,absolute rubbish!
negative,moderate
negative,hated it!
negative,hated it!
negative,very good
neutral,very good
negative,just okay
neutral,hated it!
negative,fair
neutral,good
negative,not recommended at all
negative,not recommended at all
negative,bad quality
negative,bad quality
negative,does the job
negative,fair
negative,fair
negative,very poor
negative,did not meet expectations
negative,very poor
negative,not recommended at all
neutral,good
negative,good
neutral,decent product
negative,good choice
negative,expected a better product
negative,unsatisfactory
negative,hated it!
negative,awesome
negative,expected a better product
neutral,really nice
negative,hated it!
negative,worst experience ever!
negative,don't waste your money
negative,don't waste your money
negative,super!
neutral,good choice
negative,worth the money
negative,worst experience ever!
neutral,pretty good
negative,decent product
negative,just wow!
negative,not recommended at all
negative,expected a better product
negative,fair
negative,useless product
negative,moderate
negative,delightful
negative,useless product
negative,unsatisfactory
neutral,fair
neutral,nice product
negative,not good
negative,really nice
neutral,nice product
negative,fair
negative,nice
negative,don't waste your money
negative,could be way better
neutral,expected a better product
negative,very poor
neutral,very good
negative,slightly disappointed
negative,absolute rubbish!
negative,good
negative,very poor
negative,utterly disappointed
negative,just okay
neutral,very good
negative,does the job
neutral,absolute rubbish!
negative,very good
negative,excellent
negative,just okay
negative,super!
negative,waste of money!
negative,wonderful
negative,just okay
negative,terrific
negative,fair
negative,brilliant
neutral,just wow!
negative,value-for-money
neutral,brilliant
negative,awesome
negative,decent product
negative,does the job
negative,super!
negative,just okay
neutral,value-for-money
negative,good
negative,worth the money
negative,fabulous!
negative,value-for-money
neutral,not recommended at all
negative,absolute rubbish!
negative,utterly disappointed
neutral,utterly disappointed
negative,just wow!
neutral,terrible product
negative,horrible
negative,useless product
negative,don't waste your money
neutral,good quality product
negative,awesome
negative,terrific
neutral,fabulous!
negative,fair
negative,worst experience ever!
neutral,pretty good
neutral,awesome
negative,nice
neutral,awesome
neutral,must buy!
neutral,terrific purchase
negative,horrible
negative,did not meet expectations
negative,unsatisfactory
negative,very poor
neutral,not recommended at all
negative,unsatisfactory
negative,wonderful
negative,useless product
neutral,moderate
negative,absolute rubbish!
negative,don't waste your money
negative,did not meet expectations
negative,useless product
negative,expected a better product
negative,could be way better
neutral,fabulous!
negative,waste of money!
negative,hated it!
negative,not good
negative,not good
neutral,terrific purchase
neutral,useless product
neutral,wonderful
negative,bad quality
neutral,not good
negative,could be way better
negative,unsatisfactory
negative,worthless
negative,slightly disappointed
neutral,good
negative,not recommended at all
neutral,worth every penny
negative,terrific purchase
neutral,mind-blowing purchase
neutral,very poor
negative,don't waste your money
negative,expected a better product
negative,waste of money!
negative,worst experience ever!
neutral,good
negative,worst experience ever!
neutral,bad quality
neutral,best in the market!
neutral,just okay
neutral,excellent
neutral,must buy!
neutral,mind-blowing purchase
negative,nice
negative,waste of money!
neutral,utterly disappointed
neutral,fair
neutral,does the job
neutral,nice
negative,good
neutral,worthless
negative,moderate
neutral,utterly disappointed
negative,pretty good
negative,not recommended at all
neutral,nice product
negative,worthless
negative,value-for-money
negative,waste of money!
negative,fabulous!
negative,worthless
negative,absolute rubbish!
negative,value-for-money
negative,unsatisfactory
negative,worthless
negative,nice product
negative,utterly disappointed
negative,not recommended at all
negative,pretty good
negative,not recommended at all
negative,terrible product
negative,horrible
negative,absolute rubbish!
negative,terrible product
negative,utterly disappointed
negative,worst experience ever!
negative,utterly disappointed
negative,horrible
negative,unsatisfactory
